Vial_ID,Cruise,Vessel,Haul,Sex,CW ,CH_CC,Crab_Wgt ,HepatoTray_WT,Hepato_WWT,Hepato_DWT,MuscleTray_WT,Muscle_WWT,Muscle_DWT,Process_Date,Notes
2019-1,201902,162,1,1,87.44,14.92,248.3,1.2879,1.9183,1.4581,1.2924,2.3988,1.4564,3/16/2021,
2019-10,201901,162,193,1,91.84,13.01,219.2,1.2631,2.6223,1.646,1.2855,2.8994,1.5091,3/17/2021,
2019-11,201902,94,1,1,55.53,7.92,67.8,1.2716,2.3855,1.5348,1.2866,1.8254,1.3792,3/18/2021,
2019-13,201902,162,1,1,85.09,15.04,230.6,1.263,2.2718,1.4401,1.2824,2.8001,1.5203,3/18/2021,
2019-14,201902,162,1,1,93.94,13.48,224.8,1.2866,2.2783,1.4912,1.2731,2.4266,1.4394,3/19/2021,
2019-147,201902,162,46,1,59.43,8.34,71.8027,1.3316,2.5054,1.6587,1.3112,2.0544,1.4095,5/7/2021,R8
2019-148,201902,162,46,1,56.35,6.6,59.7667,1.3172,2.0007,1.5084,1.317,1.9092,1.3941,5/7/2021,R8
2019-149,201902,162,46,1,54.5,7.13,62.938,1.3147,1.9636,1.5158,1.3149,1.7205,1.3848,5/11/2021,R8
2019-15,201902,162,1,1,79.23,13.57,199.4,1.2576,2.3991,1.4742,1.264,2.3445,1.4259,3/19/2021,
2019-151,201902,162,46,1,56.1,7.16,63.5541,1.3152,1.8859,1.486,1.318,1.9478,1.4221,5/11/2021,R8
2019-154,201902,162,46,1,59.85,7.56,80.225,1.3139,2.3689,1.7081,1.3136,1.895,1.4165,5/11/2021,R8
2019-158,201901,94,133,1,84.01,12.75,204.8,1.3163,2.7735,1.4536,1.3115,2.3446,1.4675,5/11/2021,R4
2019-159,201901,94,133,1,78.61,11.71,168.2,1.317,2.7839,1.3981,1.3122,1.8961,1.4194,5/11/2021,R4
2019-16,201902,162,1,1,80.69,14.25,208.7,1.2693,2.2615,1.5279,1.2752,2.5711,1.4678,3/19/2021,
2019-160,201901,94,133,1,84.69,11.99,211.7,1.3083,2.7152,1.4218,1.3163,2.1747,1.4275,5/11/2021,R4
2019-161,201901,94,133,1,80.02,11.85,193.5,1.2924,2.1722,1.422,1.274,1.7521,1.3368,5/17/2021,R4
2019-162,201901,94,133,1,83.66,12.29,188,1.2852,1.8754,1.3522,1.2625,1.8951,1.3484,5/17/2021,R4
2019-163,201902,162,1,1,78.37,11.96,182.9,1.2774,2.0229,1.4146,1.2913,1.9241,1.3891,5/17/2021,
2019-164,201902,162,1,1,77.43,12.53,170.1,1.2726,2.1859,1.4242,1.2879,2.1394,1.4072,5/17/2021,
2019-165,201902,162,1,1,84.43,12.49,223.4,1.2662,2.2745,1.4807,1.2808,1.959,1.3771,5/17/2021,
2019-166,201901,94,134,1,85.46,12.13,208.3,1.2833,2.1678,1.3513,1.2816,1.8087,1.3615,5/17/2021,R4
2019-167,201901,94,134,1,96.18,14.49,294.3,1.2696,2.3066,1.469,1.3209,3.3732,1.5592,5/17/2021,R4
2019-168,201901,94,134,1,92.53,13.89,247.7,1.2706,1.8867,1.3448,1.2696,1.728,1.346,5/18/2021,R4
2019-169,201901,94,134,1,85.29,13.28,198.8,1.2666,2.0566,1.3936,1.2793,2.3436,1.3859,5/18/2021,R4
2019-170,201901,94,134,1,83.62,12.86,190.9,1.2834,2.0675,1.388,1.2729,2.6799,1.4175,5/18/2021,R4
2019-175,201901,94,126,1,80.59,11.05,176.1,1.2743,2.1498,1.448,1.2695,1.645,1.3295,5/18/2021,R3
2019-176,201902,162,1,1,88.29,12.31,235.2,1.2702,2.9698,1.4836,1.2654,2.2667,1.407,5/18/2021,
2019-177,201902,162,20,1,56.47,7.24,69.0735,1.2865,2.2919,1.5588,1.2721,1.8293,1.3778,5/19/2021,R9
2019-178,201902,162,20,1,62.66,8.96,85.8309,1.2766,2.0067,1.4696,1.2863,1.8816,1.3948,5/19/2021,R9
2019-179,201902,162,20,1,66.29,11.23,116.185,1.2689,2.2858,1.5463,1.278,2.1094,1.4406,5/19/2021,R9
2019-18,201901,94,159,1,81.02,12.73,181.2,1.2846,2.1991,1.3512,1.2793,2.2102,1.42,3/19/2021,
2019-187,201902,162,1,1,83.49,12.11,211,1.2989,1.9735,1.4469,1.2891,1.78,1.2916,5/19/2021,R3
2019-188,201901,94,127,1,80.47,12.32,196.2,1.2641,2.2581,1.4593,1.2816,2.11,1.3977,5/19/2021,R3
