"","year","longitude","latitude","bottom_depth","peak_timing","SSTcumanom45","spring_ice_fraction","ice_retreat_timing","bloom_type","bsregion"
"3",1998,-165.403882564983,54.8252848549119,-157.656688316472,149,-19.1321152777778,0,0,"ice_free","1"
"14",1998,-166.482629508521,55.2544406363614,-135.612742660783,157,-26.8738527777778,0,0,"ice_free","4"
"15",1998,-165.441949610076,55.1965614225006,-116.667513661448,149,-26.2263847222222,0,0,"ice_free","4"
"16",1998,-164.523876767345,55.2091557796718,-87.2791534412099,149,-20.2621305555556,0,0,"ice_free","1"
"25",1998,-167.450478524817,55.7137251559218,-135.313973585498,149,-24.1429875,0,0,"ice_free","4"
"26",1998,-166.489277829662,55.7074150588708,-126.302675385968,149,-25.5662263888889,0,0,"ice_free","4"
"27",1998,-165.503185464171,55.7791780836252,-108.353677495382,157,-21.8785277777778,0,0,"ice_free","4"
"28",1998,-164.46662396752,55.7751237395456,-94.8721030115674,149,-17.7942402777778,0,0,"ice_free","3"
"29",1998,-163.479862792651,55.7755979693625,-83.9959652456287,149,-16.4381888888889,0,0,"ice_free","1"
"30",1998,-162.546295121674,55.8475054049992,-60.8598643651514,149,-1.02455867235346,0,0,"ice_free","1"
"40",1998,-167.372204335168,56.2884794175179,-122.98709693229,149,-19.7018402777778,0,0,"ice_free","4"
"41",1998,-166.580366657718,56.2919619730543,-108.448129859638,149,-16.9240597222222,0,0,"ice_free","4"
"42",1998,-165.521506690273,56.2593207910154,-91.2831471454565,165,-21.1642083333333,0.100976080246914,51,"ice_free","3"
"43",1998,-164.395460812859,56.2544962222082,-86.6612747462971,149,-9.10015694444444,0,0,"ice_free","3"
"44",1998,-163.551293039474,56.2307500423507,-85.389847550239,149,-7.16016805555556,0,0,"ice_free","3"
"45",1998,-162.493344977699,56.2281349674041,-75.6528740857411,149,-3.00324861111111,0,0,"ice_free","1"
"46",1998,-161.469907296114,56.2749400521705,-57.3441491521057,117,5.58994444444444,0,0,"ice_free","1"
"51",1998,-172.480264095486,56.8561391606955,-113.682429369597,141,-45.2407902777778,0,0,"ice_free","8"
"53",1998,-170.484470786762,56.7501489925533,-101.004502012573,85,-19.5204583333333,0,0,"ice_free","5"
"54",1998,-169.492564147596,56.7367704561096,-74.4278880390073,141,-26.9715555555556,0,0,"ice_free","5"
"55",1998,-168.498580010331,56.7740840480734,-91.4288928451413,157,-19.7561930555556,0,0,"ice_free","3"
"56",1998,-167.459711094982,56.7345373782437,-93.4646193214907,157,-3.21767222222222,0.23029837164751,59,"ice_free","3"
"57",1998,-166.582419955967,56.6615318222664,-87.1231635020837,149,-9.35352222222222,0.367641820987654,60,"ice_free","3"
"58",1998,-165.48577673531,56.6825299947281,-77.5911217588876,157,-19.9077472222222,0.461778524492234,61,"ice_free","3"
"59",1998,-164.436150439866,56.6794342834828,-74.7783607614603,149,0.324633333333332,0.448593630268199,59,"ice_free","3"
"60",1998,-163.462532816361,56.7121122644954,-72.7646392785019,149,3.54235,0.335130401234568,54,"ice_free","3"
"61",1998,-162.487337951489,56.7339900412007,-68.0550156155478,149,0.102722222222221,0.214186805555556,40,"ice_free","3"
"62",1998,-161.43458945131,56.7527063261144,-68.8285922705972,149,-6.17635555555556,0,0,"ice_free","3"
"63",1998,-160.481315871401,56.7095787016329,-57.2826736130945,117,1.48439166666666,0,0,"ice_free","3"
"68",1998,-172.525340331495,57.2914990526742,-127.847868619532,141,-62.7450763888889,0,0,"ice_free","8"
"70",1998,-170.755760417511,57.1163217756853,-81.4392012987598,165,-19.4604069444444,0.162842592592593,58,"ice_free","5"
"71",1998,-169.419313224594,57.1939812501907,-67.2414771302638,157,-31.0261569444444,0.200711342592593,60,"ice_free","6"
"72",1998,-168.415075282116,57.1543858909672,-76.9215997257186,157,-16.3400222222222,0.363854302832244,64,"ice_free","3"
"73",1998,-167.660686824508,57.1959942695299,-75.8435252172438,77,0.840891666666665,0.530442901234568,66,"ice_full","3"
"74",1998,-166.459578999237,57.1734550889968,-74.2946641591647,149,-14.5971055555556,0.608132132132132,67,"ice_free","3"
"75",1998,-165.351216480855,57.2367864570087,-73.2482949798739,165,-16.2028916666667,0.647211086086086,67,"ice_free","3"
"76",1998,-164.409629168502,57.2162359976276,-68.5629569112213,157,5.17697083333333,0.643482831790123,66,"ice_free","3"
"77",1998,-163.483738776655,57.2011475983711,-65.4122599997225,149,-3.25510972222222,0.570079894179894,65,"ice_free","3"
"78",1998,-162.44373245991,57.2262891028201,-55.6544796696013,149,-13.8486916666667,0.358808333333333,60,"ice_free","3"
"79",1998,-161.44973471634,57.2273844904078,-55.9815704022959,141,-14.8222194444444,0.151395833333333,32,"ice_free","3"
"80",1998,-160.462702803611,57.236595992027,-61.7771282744559,125,-2.19456944444445,0,0,"ice_free","3"
"81",1998,-159.454385868584,57.2745365248166,-49.7174796929501,109,2.41028611111111,0.19646512345679,60,"ice_free","2"
