"","bsregion","year","nb_ice","nb_open","total","perc_open"
"1",1,2019,0,5,5,100
"2",1,2021,0,6,6,100
"3",1,2022,0,5,5,100
"4",2,2019,0,16,16,100
"5",2,2021,4,10,14,71.4285714285714
"6",2,2022,10,5,15,33.3333333333333
"7",3,2019,0,25,25,100
"8",3,2021,0,25,25,100
"9",3,2022,9,16,25,64
"10",4,2019,0,7,7,100
"11",4,2021,0,7,7,100
"12",4,2022,0,7,7,100
"13",5,2019,0,4,4,100
"14",5,2021,0,3,3,100
"15",5,2022,1,2,3,66.6666666666667
"16",6,2019,0,15,15,100
"17",6,2021,0,16,16,100
"18",6,2022,13,2,15,13.3333333333333
"19",7,2019,1,8,9,88.8888888888889
"20",7,2021,4,3,7,42.8571428571429
"21",7,2022,6,1,7,14.2857142857143
"22",8,2019,0,26,26,100
"23",8,2021,10,15,25,60
"24",8,2022,21,5,26,19.2307692307692
"25",9,2019,0,16,16,100
"26",9,2021,7,9,16,56.25
"27",9,2022,15,1,16,6.25
"28",10,2019,10,13,23,56.5217391304348
"29",10,2021,18,0,18,0
"30",10,2022,21,2,23,8.69565217391304
"31",11,2019,4,9,13,69.2307692307692
"32",11,2021,13,2,15,13.3333333333333
"33",11,2022,15,2,17,11.7647058823529
"34",12,2019,14,0,14,0
"35",12,2021,6,0,6,0
"36",12,2022,9,0,9,0
"37",13,2021,1,0,1,0
"38",14,2019,8,0,8,0
"39",14,2021,5,0,5,0
"40",14,2022,6,0,6,0
"41",16,2019,0,1,1,100
"42",16,2022,0,1,1,100
