,Year,bsregion,ice_free,ice_full,perc_open_water
1,1998,1,12,0,100
2,1998,10,6,16,27.27272727
3,1998,11,5,7,41.66666667
4,1998,12,4,15,21.05263158
5,1998,13,2,8,20
6,1998,14,2,12,14.28571429
7,1998,2,20,2,90.90909091
8,1998,3,19,1,95
9,1998,4,8,0,100
10,1998,5,3,0,100
11,1998,6,14,0,100
12,1998,7,12,3,80
13,1998,8,18,22,45
14,1998,9,11,4,73.33333333
15,1999,1,6,3,66.66666667
16,1999,10,0,19,0
17,1999,11,1,11,8.333333333
18,1999,12,1,22,4.347826087
19,1999,13,1,8,11.11111111
20,1999,14,0,11,0
21,1999,15,1,2,33.33333333
22,1999,16,3,0,100
23,1999,2,4,16,20
24,1999,3,19,6,76
25,1999,4,14,0,100
26,1999,5,4,0,100
27,1999,6,4,12,25
28,1999,7,3,9,25
29,1999,8,12,30,28.57142857
30,1999,9,0,14,0
31,2000,1,10,0,100
32,2000,10,0,21,0
33,2000,11,1,12,7.692307692
34,2000,12,0,22,0
35,2000,13,0,9,0
36,2000,14,0,12,0
37,2000,15,1,2,33.33333333
38,2000,2,10,14,41.66666667
39,2000,3,27,0,100
40,2000,4,11,0,100
41,2000,5,3,0,100
42,2000,6,16,0,100
43,2000,7,2,8,20
44,2000,8,23,10,69.6969697
45,2000,9,10,7,58.82352941
46,2001,1,10,0,100
47,2001,10,0,24,0
48,2001,11,0,15,0
49,2001,12,0,19,0
50,2001,13,1,10,9.090909091
51,2001,14,1,14,6.666666667
52,2001,15,1,0,100
53,2001,16,2,0,100
54,2001,2,15,8,65.2173913
55,2001,3,25,0,100
56,2001,4,10,0,100
57,2001,5,4,0,100
58,2001,6,14,0,100
59,2001,7,2,9,18.18181818
60,2001,8,39,5,88.63636364
61,2001,9,10,8,55.55555556
62,2002,1,7,1,87.5
63,2002,10,1,20,4.761904762
64,2002,11,5,14,26.31578947
65,2002,12,0,23,0
66,2002,13,3,7,30
67,2002,14,1,15,6.25
68,2002,15,5,0,100
69,2002,16,1,0,100
70,2002,2,14,7,66.66666667
71,2002,3,28,0,100
72,2002,4,15,0,100
73,2002,5,6,0,100
74,2002,6,8,0,100
75,2002,7,9,4,69.23076923
76,2002,8,31,6,83.78378378
77,2002,9,13,7,65
78,2003,1,8,0,100
79,2003,10,1,21,4.545454545
80,2003,11,3,12,20
81,2003,12,7,14,33.33333333
82,2003,13,5,10,33.33333333
83,2003,14,1,12,7.692307692
84,2003,15,6,0,100
85,2003,16,2,0,100
86,2003,2,10,16,38.46153846
87,2003,3,20,1,95.23809524
88,2003,4,15,0,100
89,2003,5,2,0,100
90,2003,6,5,10,33.33333333
91,2003,7,0,15,0
92,2003,8,36,3,92.30769231
93,2003,9,6,13,31.57894737
94,2004,1,9,0,100
95,2004,10,0,24,0
96,2004,11,1,16,5.882352941
97,2004,12,1,23,4.166666667
98,2004,13,3,7,30
99,2004,14,3,14,17.64705882
100,2004,15,8,0,100
101,2004,16,1,0,100
102,2004,2,4,21,16
103,2004,3,16,4,80
104,2004,4,16,0,100
105,2004,5,5,0,100
106,2004,6,13,1,92.85714286
107,2004,7,2,11,15.38461538
108,2004,8,22,11,66.66666667
109,2004,9,8,8,50
110,2005,1,5,0,100
111,2005,10,1,19,5
112,2005,11,0,14,0
113,2005,12,3,22,12
114,2005,13,0,12,0
115,2005,14,2,11,15.38461538
116,2005,15,2,0,100
117,2005,16,1,0,100
118,2005,2,11,8,57.89473684
119,2005,3,29,1,96.66666667
120,2005,4,12,0,100
121,2005,5,3,0,100
122,2005,6,10,6,62.5
123,2005,7,0,8,0
124,2005,8,27,10,72.97297297
125,2005,9,1,14,6.666666667
126,2006,1,8,0,100
127,2006,10,1,26,3.703703704
128,2006,11,0,13,0
129,2006,12,0,21,0
130,2006,13,0,13,0
131,2006,14,1,12,7.692307692
132,2006,15,4,1,80
133,2006,16,1,0,100
134,2006,2,3,26,10.34482759
135,2006,3,18,3,85.71428571
136,2006,4,13,0,100
137,2006,5,7,2,77.77777778
138,2006,6,3,10,23.07692308
139,2006,7,0,9,0
140,2006,8,12,23,34.28571429
141,2006,9,0,17,0
142,2007,1,3,4,42.85714286
143,2007,10,0,15,0
144,2007,11,0,19,0
145,2007,12,6,16,27.27272727
146,2007,13,2,7,22.22222222
147,2007,14,0,15,0
148,2007,15,5,3,62.5
149,2007,2,0,24,0
150,2007,3,7,20,25.92592593
151,2007,4,14,0,100
152,2007,5,5,0,100
153,2007,6,5,8,38.46153846
154,2007,7,0,8,0
155,2007,8,18,21,46.15384615
156,2007,9,0,14,0
157,2008,1,6,3,66.66666667
158,2008,10,0,23,0
159,2008,11,0,19,0
160,2008,12,1,18,5.263157895
161,2008,13,0,14,0
162,2008,14,0,11,0
163,2008,15,5,3,62.5
164,2008,16,2,0,100
165,2008,2,1,20,4.761904762
166,2008,3,12,15,44.44444444
167,2008,4,11,1,91.66666667
168,2008,5,4,0,100
169,2008,6,2,10,16.66666667
170,2008,7,1,10,9.090909091
171,2008,8,16,21,43.24324324
172,2008,9,0,13,0
173,2009,1,6,2,75
174,2009,10,0,19,0
175,2009,11,0,16,0
176,2009,12,3,20,13.04347826
177,2009,13,6,5,54.54545455
178,2009,14,2,13,13.33333333
179,2009,15,5,2,71.42857143
180,2009,16,1,0,100
181,2009,2,7,14,33.33333333
182,2009,3,12,17,41.37931034
183,2009,4,10,2,83.33333333
184,2009,5,1,2,33.33333333
185,2009,6,8,7,53.33333333
186,2009,7,5,4,55.55555556
187,2009,8,16,24,40
188,2009,9,1,19,5
189,2010,1,8,2,80
190,2010,10,0,23,0
191,2010,11,0,17,0
192,2010,12,4,17,19.04761905
193,2010,13,0,10,0
194,2010,14,0,17,0
195,2010,15,5,3,62.5
196,2010,16,2,0,100
197,2010,2,2,19,9.523809524
198,2010,3,6,21,22.22222222
199,2010,4,9,1,90
200,2010,5,2,2,50
201,2010,6,0,16,0
202,2010,7,1,8,11.11111111
203,2010,8,13,26,33.33333333
204,2010,9,0,17,0
205,2011,1,6,0,100
206,2011,10,1,22,4.347826087
207,2011,11,0,18,0
208,2011,12,7,16,30.43478261
209,2011,13,0,11,0
210,2011,14,2,11,15.38461538
211,2011,15,5,0,100
212,2011,2,5,16,23.80952381
213,2011,3,19,10,65.51724138
214,2011,4,13,0,100
215,2011,5,5,3,62.5
216,2011,6,4,10,28.57142857
217,2011,7,1,6,14.28571429
218,2011,8,19,15,55.88235294
219,2011,9,0,16,0
220,2012,1,5,5,50
221,2012,10,0,22,0
222,2012,11,0,6,0
223,2012,12,7,12,36.84210526
224,2012,13,0,9,0
225,2012,14,0,15,0
226,2012,15,0,3,0
227,2012,16,1,0,100
228,2012,2,4,17,19.04761905
229,2012,3,8,15,34.7826087
230,2012,4,9,3,75
231,2012,5,2,2,50
232,2012,6,0,12,0
233,2012,7,1,14,6.666666667
234,2012,8,2,22,8.333333333
235,2012,9,0,11,0
236,2013,1,11,0,100
237,2013,10,0,18,0
238,2013,11,0,16,0
239,2013,12,2,19,9.523809524
