14:0_perDWT,TMTD_perDWT,14:1_perDWT,i15:0_perDWT,ai15:0_perDWT,15:0_perDWT,15:1_perDWT,i16:0_perDWT,ai16:0?_perDWT,pristanic?_perDWT,16:0_perDWT,16:1w11?_perDWT,16:1w9?_perDWT,16:1w7_perDWT,16:1w5_perDWT,i17:0_perDWT,ai17:0_perDWT,16:2w4_perDWT,phytanic?_perDWT,17:0_perDWT,16:3w4?_perDWT,17:1_perDWT,16:4w3?_perDWT,16:4w1_perDWT,18:0_perDWT,18:1w11?_perDWT,18:1w9_perDWT,18:1w7_perDWT,18:1w6?_perDWT,18:1w5?_perDWT,18:2a_perDWT,18:2b_perDWT,18:2w6_perDWT,18:2w4_perDWT,18:3w6_perDWT,19:0_perDWT,18:3w4_perDWT,18:3w3_perDWT,18:4w3_perDWT,18:4w1?_perDWT,20:0_perDWT,18:5w3_perDWT,20:1w11?_perDWT,20:1w9_perDWT,20:1w7?_perDWT,20:2a?_perDWT,20:2b?_perDWT,20:2w6_perDWT,20:3w6_perDWT,21:0_perDWT,20:4w6_perDWT,20:3w3_perDWT,20:4w3_perDWT,20:5w3_perDWT,22:0_perDWT,22:1w11(13)_perDWT,22:1w9_perDWT,22:1w7_perDWT,22:2NMIDa?_perDWT,22:2NMIDb?_perDWT,21:5w3?_perDWT,23:0_perDWT,22:4w6?_perDWT,22:5w6_perDWT,22:4w3?_perDWT,22:5w3_perDWT,24:0_perDWT,22:6w3_perDWT,24:1(24:1n-9)_perDWT,Bacterial_perDWT,SFA_perDWT,MUFA_perDWT,PUFA_perDWT,PUFA/SFA_perDWT,Sum_N-3_PUFA_perDWT,DHA/EPA_perDWT,Diatom_freshness_perDWT,Zooplankton_perDWT,Nearshore_perDWT,Diatom_Indicator_perDWT,Diatom_to_Flagellate_perDWT,Carnivory_benthic_pelagic_perDWT,Storage_lipid_diatom_perDWT,Membrane_lipid_diatom_perDWT,vial_id,year,cruise,gis_station,total_benthic_cpue,area_swept,cpue,vessel,haul,sex,cw,ch_cc,crab_wgt,hepato_wwt,hepato_dwt,maturity,mid_latitude,mid_longitude,bottom_depth,gear_temperature,sample_region,lme,bsierp_region
10.58,0.23,0.38,0.86,0.05,2.77,0,1.22,0.27,0,52.73,0,0,61.72,0.78,2.47,3.02,3.65,1.52,0,3.18,0,0.42,1.9,10.79,1.74,40.95,36.68,1.86,0.4,0,0,3.44,1.62,0.87,0,1.53,0.41,4.39,0.56,0,0.42,12.83,6.09,33.09,0,0,2.76,0,0.12,8.5,0,1.77,67.08,0.29,1.98,3.25,2.21,0.81,2.65,0,0,0,2.64,0,8.2,0.05,16.58,0.4,10.66,86.96,204.34,133.36,1.53,99.25,0.25,0.07,59.45,3.85,1.17,0.69,1.12,14.06,4.05,2019-1,2019,201902,W-27,193.027395,0.01495924640185965,67622.14170589813,162,1,1,87.44,14.92,248.3,0.6304,0.1702,0,62.31661,-175.31904,80,0.2,7,NBS,10
10.35,0.25,0.36,1.36,0.08,2.47,0,1.79,0.34,0,44.23,0,0,51.84,0.89,2.68,3.88,3.13,1.13,0,2.49,0,0.5,1.82,9.23,1.96,30.94,22.83,1.63,0.34,0,0,2.92,1.46,0.52,0,1.26,0.67,3.74,0.48,0,0.98,12.11,4.74,23.23,0,0,1.91,0,0,6.86,0,1.38,54.74,0.21,2.05,3.94,1.91,0.62,1.65,0,0,0,2.01,0,6.94,0.1,14.59,0.9,12.59,78.1,159.67,110.68,1.42,83.55,0.27,0.08,47.97,3.59,1.17,0.66,1.36,13.85,3.75,2019-2,2019,201902,W-27,193.027395,0.01495924640185965,67622.14170589813,162,1,1,78.57,11.38,170.6,0.6854,0.1509,0,62.31661,-175.31904,80,0.2,7,NBS,10
9.84,0.2,0.37,1.41,0.06,2.74,0,1.91,0.36,0,52.1,0,0,53.01,0.91,3.08,4.17,3.4,1.44,0,2.81,0,0.44,1.58,11.57,2.23,43.78,33.37,2.21,0.43,0,0,3.75,1.42,0.68,0,1.57,0.65,3.84,0.6,0,0.19,14.8,6.1,29.69,0,0,2.51,0,0.14,9.07,0,1.42,63.18,0.27,1.93,4.41,3.22,0.75,2.29,0,0,0,2.08,0,8.87,0.04,18.15,1.01,13.72,89.32,197.47,129.25,1.45,96.73,0.29,0.07,60.15,4.41,1.02,0.65,1.31,13.81,3.48,2019-3,2019,201902,W-27,193.027395,0.01495924640185965,67622.14170589813,162,1,1,75.87,11.99,151.8,0.7067,0.1746,0,62.31661,-175.31904,80,0.2,7,NBS,10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-4,2019,201902,W-27,193.027395,0.01495924640185965,67622.14170589813,162,1,1,78.97,12.31,189.2,0.7634,0.1697,0,62.31661,-175.31904,80,0.2,7,NBS,10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-5,2019,201902,W-27,193.027395,0.01495924640185965,67622.14170589813,162,1,1,78.61,12.83,175.1,1.0278,0.2458,0,62.31661,-175.31904,80,0.2,7,NBS,10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-6,2019,201901,V-27,177.02249400000002,0.013912080357285,170569.63941107484,162,193,1,80.11,13.21,NA,0.9814,0.2139,0,61.99908,-175.17202,80,0.4,4,EBS,9
10.3,0.26,0.49,0.84,0.08,2.72,0,1.11,0.22,0,44.56,0,0,56.55,0.75,2.2,2.79,3.36,1.43,0,3.06,0,0.05,1.83,8.82,1.44,39.54,29.26,1.68,0.32,0,0,2.73,1.09,0.76,0,1.17,0.36,3.25,0.57,0,0,10.76,5.13,24.14,0,0,2.23,0,0.12,7.98,0,1.46,52.76,0.28,1.84,3.77,4.07,1,2.88,0.07,0,0.03,1.91,0,6.84,0.04,13.44,0.78,9.95,75.76,180.51,108.81,1.44,78.22,0.25,0.08,49.71,3.09,1.27,0.83,1.35,17.38,3.93,2019-7,2019,201901,V-27,177.02249400000002,0.013912080357285,170569.63941107484,162,193,1,83.34,13.34,NA,1.0267,0.2866,0,61.99908,-175.17202,80,0.4,4,EBS,9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-8,2019,201901,V-27,177.02249400000002,0.013912080357285,170569.63941107484,162,193,1,78.86,13.02,190.5,1.0815,0.2794,0,61.99908,-175.17202,80,0.4,4,EBS,9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-9,2019,201901,V-27,177.02249400000002,0.013912080357285,170569.63941107484,162,193,1,87.42,14.75,NA,1.1223,0.2368,0,61.99908,-175.17202,80,0.4,4,EBS,9
8.09,0.23,0.26,0.59,0.04,2.32,0,0.85,0.22,0,35.36,0,0,46.91,0.58,1.6,2.16,3.13,1.18,0,2.42,0.3,0.04,1.69,7.83,0.96,24.46,19.87,1.27,0.22,0,0,2.14,0.9,0.6,0,1,0.66,3.73,0.44,0,0.47,7.82,3.74,20.28,0,0,1.73,0,0,6.04,0,1.18,48.08,0.19,1.47,3.08,2.38,0.64,1.52,0,0,0,1.34,0,5.23,0.03,10.83,0.64,8.08,60.68,134.24,93.81,1.55,70.23,0.23,0.08,38.77,2.8,1.33,0.73,1.23,12.58,4.44,2019-10,2019,201901,V-27,177.02249400000002,0.013912080357285,170569.63941107484,162,193,1,91.84,13.01,219.2,1.3592,0.3829,0,61.99908,-175.17202,80,0.4,4,EBS,9
