sample_region,lme,gis_station,bsierp_region
1,EBS,A-02,4
1,EBS,A-03,4
1,EBS,A-04,4
1,EBS,A-05,4
1,EBS,B-01,4
1,EBS,B-02,4
1,EBS,B-03,4
1,EBS,B-04,4
1,EBS,B-05,4
1,EBS,C-18,4
1,EBS,C-01,4
1,EBS,C-02,4
1,EBS,C-03,4
1,EBS,C-04,4
1,EBS,C-05,4
1,EBS,D-18,4
1,EBS,D-01,4
1,EBS,D-02,4
1,EBS,D-03,4
1,EBS,D-04,4
1,EBS,D-05,4
1,EBS,E-18,4
1,EBS,E-19,4
1,EBS,E-20,4
1,EBS,E-21,4
1,EBS,E-22,4
1,EBS,E-01,4
1,EBS,E-02,4
1,EBS,E-03,4
1,EBS,F-18,4
1,EBS,F-01,4
1,EBS,F-02,4
2,EBS,F-19,5
2,EBS,F-20,5
2,EBS,F-21,5
2,EBS,G-18,5
2,EBS,G-19,5
2,EBS,G-20,5
2,EBS,G-21,5
2,EBS,G-22,5
2,EBS,H-18,5
2,EBS,H-19,5
2,EBS,H-20,5
2,EBS,H-21,5
2,EBS,H-22,5
2,EBS,H-23,5
2,EBS,I-18,5
2,EBS,I-19,5
2,EBS,I-20,5
2,EBS,I-21,5
2,EBS,I-22,5
2,EBS,I-23,5
2,EBS,J-18,5
2,EBS,J-19,5
2,EBS,J-20,5
2,EBS,J-21,5
2,EBS,J-22,5
2,EBS,J-23,5
2,EBS,JI2221,5
2,EBS,JI2120,5
2,EBS,JI2019,5
2,EBS,JI1918,5
2,EBS,IH2221,5
2,EBS,IH2120,5
2,EBS,IH2019,5
2,EBS,IH1918,5
2,EBS,HG2221,5
2,EBS,HG2120,5
2,EBS,HG2019,5
2,EBS,HG1918,5
2,EBS,GF2221,5
2,EBS,GF2120,5
2,EBS,GF2019,5
2,EBS,GF1918,5
3,EBS,K-01,6
3,EBS,K-02,6
3,EBS,K-18,6
3,EBS,K-19,6
3,EBS,K-20,6
3,EBS,K-21,6
3,EBS,K-22,6
3,EBS,K-23,6
3,EBS,L-18,6
3,EBS,L-19,6
3,EBS,L-20,6
3,EBS,L-21,6
3,EBS,L-22,6
3,EBS,L-23,6
