Lipid_WWT_g,Lipid_WWT_mg,year,Internal_Standard_Added_ug,Total_FA_Conc,Total_FA_extract,vial_id,cruise,gis_station,area_swept,cpue,vessel,haul,sex,cw,ch_cc,crab_wgt,hepato_wwt,hepato_dwt,process_date,notes,maturity,mid_latitude,mid_longitude,bottom_depth,gear_temperature,region,lme,DWT_WWT,Perc_DWT,Total_FA,WWT_DWT
0.57,573.4,2021,1506,194.09,111291.44,AKK-1,202101,I-19,0.01251090207164655,1039.093738049624,162,100,1,96.68,18.45,357,0.2963,0.1243,,,0,57.67209,-169.03364,69,3.6,2,EBS,0.41950725615929796,41.9507256159298,462.66184231697514,2.3837489943684638
0.37,372.7,2021,1506,107.51,40070.21,AKK-2,202101,F-19,0.0141930788929083,775.0256362977203,162,106,1,89.77,15.22,277,0.2596,0.0832,,,0,56.6657,-168.91527,100,3.7,2,EBS,0.3204930662557781,32.04930662557781,335.45187500000003,3.120192307692308
0.47,473.9,2021,1506,87.42,41426.15,AKK-3,202101,E-21,0.0151980825328794,2171.326542582466,162,110,1,102.55,17.95,354,0.3604,0.0951,,,0,56.34038,-170.04649,109,4.2,1,EBS,0.26387347391786903,26.387347391786903,331.29514195583596,3.789695057833859
0.36,361.2,2021,1506,33.4,12062.29,AKK-4,202101,F-22,0.0159104838138972,3456.8401968995818,162,112,1,92.16,17.05,320,0.3442,0.0804,,,0,56.65739,-170.73806,115,3.9,6,EBS,0.2335851249273678,23.35851249273678,142.98855721393033,4.281094527363185
0.34,341.5,2021,1506,138.95,47452.27,AKK-5,202101,F-22,0.0159104838138972,3456.8401968995818,162,112,1,95.73,16.75,324,0.3883,0.1069,,,0,56.65739,-170.73806,115,3.9,6,EBS,0.2753026010816379,27.53026010816379,504.717352666043,3.6323666978484566
0.36,357.4,2021,1506,49.78,17790.45,AKK-6,202101,N-22,0.01544321388383235,12626.905349290499,162,124,1,95.03,18.2,340,0.3624,0.1254,,,0,59.33329,-171.19173,76,2.4,3,EBS,0.3460264900662252,34.60264900662252,143.86181818181817,2.8899521531100474
0.38,383,2021,1506,49.54,18975.02,AKK-7,202101,O-22,0.01482556569224445,4991.3778358360305,162,125,1,88.87,15.44,280,0.2446,0.0657,,,0,59.66137,-171.25106,73,2.4,3,EBS,0.26860179885527385,26.860179885527387,184.43659056316594,3.722983257229833
0.37,368.2,2021,1506,75.03,27626.7,AKK-8,202101,T-25,0.0141581945345808,1977.65328987472,162,137,1,76.87,13.44,140,0.327,0.0929,,,0,61.32218,-173.58191,74,0.2,4,EBS,0.2840978593272171,28.40978593272171,264.09913885898817,3.5199138858988164
0.44,437,2021,1506,26.04,11380.09,AKK-9,202101,R-26,0.0139041419426712,7048.259461394185,162,140,1,77.04,12.91,164,0.3781,0.0959,,,0,60.67,-174.12725,87,2.3,4,EBS,0.25363660407299654,25.363660407299655,102.6665693430657,3.9426485922836285
0.38,384.2,2021,1506,81.5,31314.16,AKK-10,202101,QP2726,0.01391238269810895,7690.990272611179,162,142,1,77.29,12.8,184,0.2535,0.0505,,,0,60.17669,-174.34747,99,1.9,4,EBS,0.19921104536489154,19.921104536489153,409.1138613861386,5.01980198019802
0.44,440.9,2021,1506,129.41,57057.73,AKK-11,202101,QP2726,0.01391238269810895,7690.990272611179,162,142,1,81.18,14.07,211,0.3258,0.1226,,,0,60.17669,-174.34747,99,1.9,4,EBS,0.376304481276857,37.6304481276857,343.8970473083197,2.65742251223491
0.37,368.2,2021,1506,62.82,23129.09,AKK-12,202101,QP2726,0.01391238269810895,7690.990272611179,162,142,1,85.75,16.97,255,0.3044,0.0674,,,0,60.17669,-174.34747,99,1.9,4,EBS,0.221419185282523,22.1419185282523,283.7152522255193,4.516320474777448
0.48,478.1,2021,1506,40.61,19414.71,AKK-13,202101,Q-26,0.01460145154763295,24381.137645024843,162,141,1,78.89,13.77,194,0.3279,0.0762,,,0,60.34057,-174.07043,90,2.1,4,EBS,0.232387923147301,23.2387923147301,174.75090551181103,4.303149606299213
0.41,409,2021,1506,17.78,7270.41,AKK-14,202101,R-26,0.0139041419426712,7048.259461394185,162,140,1,84.14,14.66,206,0.2316,0.0637,,,0,60.67,-174.12725,87,2.3,4,EBS,0.2750431778929189,27.50431778929189,64.6443956043956,3.6357927786499213
